 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
Hamming,"(-0.304, 'ns')","(-0.05, 'ns')","(-0.15, 'ns')","(-0.285, 'ns')","(-0.039, 'ns')","(0.132, 'ns')","(-0.172, 'ns')","(-0.067, 'ns')","(-0.028, 'ns')","(-0.47, '**')","(-0.272, 'ns')","(-0.195, 'ns')","(-0.427, '*')","(-0.38, '*')","(-0.293, 'ns')","(-0.193, 'ns')","(-0.342, 'ns')","(-0.136, 'ns')","(-0.482, '**')"
Correlation,"(-0.851, '****')","(-0.61, '***')","(-0.793, '****')","(-0.793, '****')","(-0.418, '*')","(-0.283, 'ns')","(-0.671, '****')","(-0.144, 'ns')","(-0.022, 'ns')","(-0.316, 'ns')","(nan, 'ns')","(-0.51, '**')","(-0.439, '*')","(0.006, 'ns')","(-0.48, '**')","(-0.605, '***')","(-0.455, '*')","(-0.565, '**')","(-0.657, '****')"
Cardinality,"(0.641, '***')","(0.302, 'ns')","(0.514, '**')","(0.61, '***')","(0.663, '****')","(0.515, '**')","(0.61, '***')","(0.58, '***')","(0.642, '***')","(0.659, '****')","(0.671, '****')","(0.549, '**')","(0.662, '****')","(0.731, '****')","(0.696, '****')","(0.686, '****')","(0.691, '****')","(0.695, '****')","(0.704, '****')"
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,"(-0.138, 'ns')","(-0.202, 'ns')","(-0.254, 'ns')","(-0.139, 'ns')","(-0.134, 'ns')","(-0.141, 'ns')","(-0.139, 'ns')","(-0.134, 'ns')","(-0.141, 'ns')","(-0.139, 'ns')","(-0.134, 'ns')","(-0.141, 'ns')","(-0.139, 'ns')","(-0.134, 'ns')","(-0.141, 'ns')","(-0.139, 'ns')","(-0.134, 'ns')","(-0.141, 'ns')","(-0.139, 'ns')"
Local Alignment,"(0.706, '****')","(0.46, '*')","(0.659, '****')","(0.678, '****')","(0.156, 'ns')","(0.143, 'ns')","(0.611, '***')","(0.273, 'ns')","(0.268, 'ns')","(0.587, '***')","(0.493, '**')","(0.414, '*')","(0.534, '**')","(0.379, '*')","(0.489, '**')","(0.653, '****')","(0.279, 'ns')","(0.616, '***')","(0.722, '****')"
City Block,"(-0.25, 'ns')","(-0.131, 'ns')","(-0.284, 'ns')","(-0.253, 'ns')","(-0.018, 'ns')","(0.012, 'ns')","(-0.245, 'ns')","(-0.088, 'ns')","(0.224, 'ns')","(-0.102, 'ns')","(-0.155, 'ns')","(-0.068, 'ns')","(0.007, 'ns')","(-0.093, 'ns')","(-0.142, 'ns')","(-0.194, 'ns')","(-0.257, 'ns')","(0.039, 'ns')","(-0.302, 'ns')"
Euclidean,"(-0.535, '**')","(-0.289, 'ns')","(-0.498, '**')","(-0.561, '**')","(-0.316, 'ns')","(-0.317, 'ns')","(-0.509, '**')","(-0.177, 'ns')","(0.036, 'ns')","(-0.231, 'ns')","(-0.17, 'ns')","(-0.293, 'ns')","(-0.259, 'ns')","(-0.149, 'ns')","(-0.307, 'ns')","(-0.461, '*')","(-0.352, 'ns')","(-0.243, 'ns')","(-0.498, '**')"
Hamming,"(-0.365, '*')","(-0.167, 'ns')","(-0.234, 'ns')","(-0.376, '*')","(0.003, 'ns')","(0.08, 'ns')","(-0.08, 'ns')","(-0.216, 'ns')","(-0.119, 'ns')","(-0.54, '**')","(-0.192, 'ns')","(-0.181, 'ns')","(-0.348, 'ns')","(-0.263, 'ns')","(-0.249, 'ns')","(-0.16, 'ns')","(-0.412, '*')","(-0.107, 'ns')","(-0.584, '***')"
Correlation,"(-0.758, '****')","(-0.535, '**')","(-0.675, '****')","(-0.75, '****')","(-0.393, '*')","(-0.235, 'ns')","(-0.74, '****')","(-0.134, 'ns')","(0.085, 'ns')","(-0.367, '*')","(nan, '*')","(-0.416, '*')","(-0.4, '*')","(-0.011, 'ns')","(-0.301, 'ns')","(-0.611, '***')","(-0.381, '*')","(-0.45, '*')","(-0.687, '****')"
Cardinality,"(0.639, '***')","(0.324, 'ns')","(0.524, '**')","(0.605, '***')","(0.617, '***')","(0.599, '***')","(0.598, '***')","(0.59, '***')","(0.649, '***')","(0.642, '***')","(0.631, '***')","(0.548, '**')","(0.618, '***')","(0.671, '****')","(0.648, '***')","(0.638, '***')","(0.7, '****')","(0.675, '****')","(0.678, '****')"
